ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
RL,Ralph Lauren Corp Class A,US,"Manufacture of wearing apparel, except fur apparel",Mixed,-20,-10,0,-30,20,-30,-30,0,0,-20,-20
RMD,ResMed Inc,US,Manufacture of medical and dental instruments and supplies,Mixed,30,-40,20,-20,40,40,-20,0,0,-30,0
ROK,Rockwell Automation Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-50,60,0,30,0,0,0,25,0,10,30
ROL,Rollins Inc,US,Other building and industrial cleaning activities,Mixed,-20,-30,0,-20,10,-10,-20,0,0,0,-20
ROP,"Roper Technologies, Inc.",US,Computer programming activities,Mixed,-20,-10,10,-10,10,10,0,0,0,-20,-20
ROST,Ross Stores Inc,US,"Retail sale of clothing, footwear and leather articles in specialized stores",Mixed,-30,0,0,-30,0,0,-10,0,0,-40,-30
RSG,Republic Services Inc,US,Collection of non-hazardous waste,Mixed,-30,10,0,-20,-10,0,10,0,0,0,30
RTX,Raytheon Technologies Corp,US,Manufacture of air and spacecraft and related machinery,Mixed,-40,-50,-80,-20,-10,-40,-10,0,0,-40,-20
RVTY,Revvity Inc.,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-20,-10,0,10,30,30,-10,0,0,-30,-40
SBAC,SBA Communications Corp,US,Wireless telecommunications activities,Mixed,0,10,0,-20,10,0,0,0,0,0,-70
SBUX,Starbucks Corporation,US,Restaurants and mobile food service activities,Mixed,-20,-20,0,-20,10,-30,-10,30,0,-70,-20
SCHW,Charles Schwab Corp,US,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Mixed,10,0,-10,-20,10,-30,0,25,10,0,10
SHW,Sherwin-Williams Co,US,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Mixed,-30,-40,-20,-30,-20,0,-10,25,0,-30,-20
SJM,JM Smucker Company,US,Manufacture of other food products n.e.c.,Mixed,-20,-20,0,-20,10,0,-10,25,0,-30,-20
SLB,Schlumberger NV,US,Support activities for petroleum and natural gas extraction,Mixed,-30,-40,-30,-30,-10,10,-20,0,0,-20,-20
SMCI,Super Micro Computer Inc,US,Manufacture of computers and peripheral equipment,Mixed,0,0,-50,-20,0,-30,0,0,0,-20,0
SNA,Snap-On Inc,US,Wholesale of other machinery and equipment,Mixed,-30,-20,-30,-20,0,-10,0,0,0,-40,0
SNPS,Synopsys Inc,US,Computer programming activities,Mixed,-20,20,-30,10,10,20,0,0,0,0,0
SO,Southern Company,US,"Electric power generation, transmission and distribution",Mixed,-20,-50,0,-10,-10,-40,-10,25,20,-20,-10
SOLV,Solventum Corp.,US,Manufacture of medical and dental instruments and supplies,Mixed,-20,10,0,-10,30,10,0,0,0,-20,-20
SPG,Simon Property Group Inc,US,Real estate activities with own or leased property,Mixed,-30,10,0,-20,10,0,0,0,0,0,-10
SPGI,S&P Global Inc,US,Other information service activities n.e.c.,Mixed,20,-30,0,-20,10,20,0,0,0,0,0
SRE,Sempra Energy,US,"Electric power generation, transmission and distribution",Mixed,-20,60,0,-10,-20,10,0,-30,0,0,0
STE,STERIS plc,US,Manufacture of medical and dental instruments and supplies,Mixed,-20,40,-50,0,30,10,10,0,0,-10,-10
STLD,Steel Dynamics Inc,US,Manufacture of basic iron and steel,Mixed,-30,10,0,-20,10,0,0,-10,0,-10,40
STT,State Street Corp,US,Activities of holding companies,Mixed,-20,-70,-20,-30,0,0,-10,0,0,0,0
STX,Seagate Technology PLC,US,Manufacture of computers and peripheral equipment,Mixed,10,-60,-30,-20,0,-40,10,0,0,-30,30
STZ,Constellation Brands Inc Class A,US,Manufacture of malt liquors and malt,Mixed,0,0,0,-20,-20,0,0,-10,0,-20,30
SW,Smurfit WestRock plc,US,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Mixed,-30,-20,10,-20,10,0,10,-25,0,0,50
SWK,Stanley Black & Decker Inc,US,Manufacture of power-driven hand tools,Mixed,-30,-20,-40,0,10,0,0,0,0,10,0
SWKS,Skyworks Solutions Inc,US,Manufacture of electronic components and boards,Mixed,-30,-20,-30,10,10,0,0,0,0,0,-20
SYF,Synchrony Financial,US,Other credit granting,Mixed,10,-10,10,30,-50,10,10,25,10,-10,0
SYK,Stryker Corporation,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-30,-10,-20,30,10,0,0,0,-30,30
SYY,Sysco Corporation,US,"Wholesale of food, beverages and tobacco",Mixed,-30,20,-10,-60,-20,-70,-20,25,0,-30,-20
T,AT&T Inc,US,Wireless telecommunications activities,Mixed,-30,-30,-30,10,20,-60,0,25,0,-20,-30
TAP,Molson Coors Brewing Co Class B,US,Manufacture of malt liquors and malt,Mixed,-30,20,0,-30,-20,10,10,-10,0,-20,30
TDG,Transdigm Group Incorporated,US,Manufacture of air and spacecraft and related machinery,Mixed,-40,-80,-50,-20,0,-10,0,0,0,-10,0
TDY,Teledyne Technologies Incorporated,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,-20,-60,10,10,10,0,0,0,-30,-40
TECH,Bio-Techne Corp,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-20,10,0,-20,30,0,-20,0,0,-20,-20
TEL,TE Connectivity Ltd,US,Manufacture of electronic components and boards,Mixed,40,-10,-40,10,20,10,0,25,0,-10,0
TER,Teradyne Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,20,-20,30,0,10,0,0,0,-30,-40
TFC,Truist Financial Corp,US,Other monetary intermediation,Mixed,-30,0,-20,30,10,-60,0,25,20,-20,-20
TFX,Teleflex Incorporated,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-20,-20,-10,20,0,0,0,0,-20,-20
TGT,Target Corporation,US,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Mixed,-20,20,0,0,20,20,-20,-25,0,-30,-20
TJX,The TJX Companies Inc,US,"Retail sale of clothing, footwear and leather articles in specialized stores",Mixed,-40,-20,0,-30,0,-20,-10,0,0,-30,-20
TMO,Thermo Fisher Scientific Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,10,-20,-10,0,30,10,-20,10,0,-10,30
TMUS,T-Mobile US Inc,US,Wireless telecommunications activities,Mixed,30,-50,-20,-10,20,-40,10,30,0,-20,-20
TPL,Texas Pacific Land Trust,US,Real estate activities with own or leased property,Mixed,-30,10,0,10,-10,0,-10,0,0,0,-10
TPR,Tapestry Inc,US,"Retail sale of clothing, footwear and leather articles in specialized stores",Mixed,30,40,0,-20,0,0,-20,25,0,-20,40
TRGP,Targa Resources Inc,US,Transport via pipeline,Mixed,-30,-30,0,-30,-20,-10,-20,0,0,0,-10
TRMB,Trimble Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,30,30,-20,10,0,20,0,25,0,-20,-10
TROW,T. Rowe Price Group Inc,US,Fund management activities,Mixed,-20,20,-10,20,0,10,0,25,0,0,-10
TRV,The Travelers Companies Inc,US,Non-life insurance,Mixed,-20,-30,0,20,10,0,0,-10,-10,0,0
TSCO,Tractor Supply Company,US,Other retail sale of new goods in specialized stores,Mixed,-30,20,0,-30,-10,0,-10,0,0,-30,-20
TSLA,Tesla Inc,US,Manufacture of motor vehicles,Mixed,-10,-50,-20,-50,-20,0,-20,25,0,-10,40
TSN,Tyson Foods Inc,US,Processing and preserving of meat,Mixed,0,-40,0,-10,-20,-40,-30,25,0,-50,-30
TT,Trane Technologies plc,US,Manufacture of other general-purpose machinery,Mixed,50,10,0,30,30,20,0,25,0,10,-20
TTWO,Take-Two Interactive Software Inc,US,Software publishing,Mixed,-30,-20,0,-20,10,-50,0,25,0,0,0
TXN,Texas Instruments Incorporated,US,Manufacture of electronic components and boards,Mixed,-30,40,-20,-20,10,0,0,25,10,-30,10
TXT,Textron Inc,US,Manufacture of air and spacecraft and related machinery,Mixed,-20,-20,-60,-20,-10,10,0,25,0,-20,-20
TYL,Tyler Technologies Inc,US,Computer programming activities,Mixed,0,10,10,10,10,0,0,0,10,0,0
UAL,United Airlines Holdings Inc,US,Passenger air transport,Mixed,-30,-20,0,-20,10,-40,0,-20,0,-10,-20
UBER,Uber Technologies Inc,US,Other passenger land transport,Mixed,-20,-60,0,-30,20,-50,0,-10,-20,-10,-20
UDR,UDR Inc,US,Real estate activities with own or leased property,Mixed,30,60,0,10,10,20,0,-10,0,0,-40
UHS,Universal Health Services Inc,US,Hospital activities,Mixed,-30,-70,0,-40,20,-40,0,0,0,-10,-20
ULTA,Ulta Beauty Inc,US,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",Mixed,-30,-20,0,0,20,0,10,25,0,-30,-20
UNH,UnitedHealth Group Incorporated,US,Life insurance,Mixed,-30,-30,0,10,40,-60,0,25,10,-20,10
UNP,Union Pacific Corporation,US,Freight rail transport,Mixed,-30,-20,-10,-30,-10,20,0,25,0,0,0
UPS,United Parcel Service Inc,US,Courier activities,Mixed,-30,-20,-10,-20,30,-50,0,25,0,-10,-20
URI,United Rentals Inc,US,"Renting and leasing of other machinery, equipment and tangible goods",Mixed,-30,-30,0,-20,10,10,0,0,0,-20,0
USB,U.S. Bancorp,US,Other monetary intermediation,Mixed,20,-20,10,-30,10,30,0,25,20,0,20
V,Visa Inc. Class A,US,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Mixed,10,30,10,20,0,40,10,25,20,0,10
VICI,VICI Properties Inc,US,Real estate activities with own or leased property,Mixed,0,0,0,0,0,10,0,25,0,0,-20
VLO,Valero Energy Corporation,US,Manufacture of refined petroleum products,Mixed,-40,-30,-20,-20,-30,0,-10,-25,0,-20,-20
VLTO,Veralto Corporation,US,"Other professional, scientific and technical activities n.e.c.",Mixed,-30,40,0,10,40,10,0,20,0,-20,-10
